# pattern	okipona	truth	rationale	hotwords
f4/p3	ala	双	Flexiarg ⇄ Arxana Integration -> ala/双: This yields bidirectional editing: human-readable ↔ machine-structured.	flexiarg, arxana, integration, f4, p3, yields, bidirectional, editing, human, readable
f4/p4	seme	么	Agent Layer Bridge (FUTON3) -> seme/么: This is what upgrades GPT into a pattern-capable agent.	agent, layer, bridge, futon3, f4, p4, what, upgrades, gpt, pattern
f4/p5	open	门	Multi-user Memory (MUSN revival) -> open/门: This will open the door to multi-agent co-reasoning and shared prototyping.	multi, user, memory, musn, revival, f4, p5, open, door, agent
f4/p6	sona	久	Argumentarium / Scholium Mode -> sona/久: This becomes the living mathematical-philosophical substrate.	argumentarium, scholium, mode, f4, p6, becomes, living, mathematical, philosophical, substrate
f4/p7	tenpo	久	XTDB Integration -> tenpo/久: This turns Arxana into a serious memory engine.	xtdb, integration, f4, p7, turns, arxana, serious, memory, engine, rekey
f4/p8	wile	已	Pattern Library Activation -> wile/已: This yields genuine pattern-aware intelligence.	pattern, library, activation, f4, p8, yields, genuine, aware, intelligence, import
f4/p9	ala	叉	StackExchange Import -> ala/叉: seeding the memory with curated Q/A pairs gives Arxana instant argumentative density.	stackexchange, import, f4, p9, seeding, memory, curated, q, pairs, gives
f5/p0	kalama	习	Nonstarter Frame (Concentration without Teleology) -> kalama/习: Without a stable concentrator layer, FUTON4’s tranquility and FUTON6’s argument power cannot synergise.	nonstarter, frame, concentration, without, teleology, f5, p0, stable, concentrator, layer
f5/p1	sin	归	Patterns of Improvisation & Meta-Pattern Formalism -> sin/归: Without a sigil-indexed transformation alphabet, FUTON5 lacks executable concentration mechanics. With it, sigils become active operators—an RNA engine capable of transforming DNA-patterns from FUTON4 into living, improvisable forms.	patterns, improvisation, meta, pattern, formalism, f5, p1, without, sigil, indexed
f5/p10	awen	已	Yearly F5 Review (Concentration Renewal) -> awen/已: Concentration equals aliveness, and aliveness must be renewed.	yearly, f5, review, concentration, renewal, p10, equals, aliveness, renewed, run
f5/p2	sin	习	Concentration Engine (Chops, Not Goals) -> sin/习: Concentration emerges from rhythm, not obligation.	concentration, engine, chops, goals, f5, p2, emerges, rhythm, obligation, establish
f5/p3	toki	世	Pattern Library (Post-Flexiarg) -> toki/世: FUTON5 needs a pattern substrate that can plug directly into FUTON6’s argument logic.	pattern, library, post, flexiarg, f5, p3, futon5, needs, substrate, plug
f5/p4	sike	己	MetaCA as Improvisation Physics -> sike/己: This gives FUTON5 a mathematical “feel” that is embodied, generative, and non-institutional.	metaca, improvisation, physics, f5, p4, gives, futon5, mathematical, feel, embodied
f5/p5	kalama	无	Nonstarter Social Physics -> kalama/无: With a functional Nonstarter economy, FUTON5 becomes spiritually and materially sustainable.	nonstarter, social, physics, f5, p5, functional, economy, futon5, becomes, spiritually
f5/p6	nasin	叉	Improvisation Metrics (Not KPIs) -> nasin/叉: FUTON5 needs feedback, not surveillance.	improvisation, metrics, kpis, f5, p6, futon5, needs, feedback, surveillance, define
f5/p7	seme	么	F4⇄F5⇄F6 Conduction Pathways -> seme/么: Without conduction, the stack fragments instead of concentrating.	f4, f5, f6, conduction, pathways, p7, without, stack, fragments, instead
f5/p8	sike	桥	Demonstrated Transfer Milestone -> sike/桥: A key milestone for FUTON5's plausibility is demonstrating that patterns developed in one domain actually transfer to another—not just that they can be written, but that they work.	demonstrated, transfer, milestone, f5, p8, key, futon5, s, plausibility, demonstrating
f5/p9	pini	末	12-Prototype Year (Concentration Arc) -> pini/末: Concentration deepens through cyclical return.	12, prototype, year, concentration, arc, f5, p9, deepens, through, cyclical
f6/p0	monsi	仍	FUTON6 Frame & Charter -> monsi/仍: A charter stabilises FUTON's cascade and prevents scope creep.	futon6, frame, charter, f6, p0, stabilises, futon, s, cascade, prevents
f6/p1	monsi	已	Pattern/Proof Bridge -> monsi/已: This respects the separation of powers (F3 = execution; F6 = habitat).	pattern, proof, bridge, f6, p1, respects, separation, powers, f3, execution
f6/p10	ala	无	Math-Aware Agent Protocol -> ala/无: Math-literate agents are central to HDM-as-habitat.	math, aware, agent, protocol, f6, p10, literate, agents, central, hdm
f6/p11	open	开	Non-Capture Guardrails -> open/开: Commons integrity is crucial for HDM’s long-term survival.	non, capture, guardrails, f6, p11, commons, integrity, crucial, hdm, s
f6/p12	e	小	F6⇄F7 Scenarios -> e/小: Mathematics should feed collective imagination, not remain inert.	f6, f7, scenarios, p12, mathematics, feed, collective, imagination, remain, inert
f6/p13	tan	未	FLEX Training Ground Link -> tan/未: This closes the developmental loop and ensures quality control.	flex, training, ground, link, f6, p13, closes, developmental, loop, ensures
f6/p2	kili	办	Fruits/Orbs as Math-Annotators -> kili/办: It preserves argumentative salience without overextending F6.	fruits, orbs, math, annotators, f6, p2, preserves, argumentative, salience, without
f6/p3	e	小	Hyperreal Dictionary Seedbed -> e/小: A tangible neighbourhood demonstrates HDM’s inhabitable promise.	hyperreal, dictionary, seedbed, f6, p3, tangible, neighbourhood, demonstrates, hdm, s
f6/p4	toki	乃	Layer-3 Reasoning Patterns -> toki/乃: L3 patterns supply the “physics” of mathematical reasoning and make HDM truly traversable.	layer, 3, reasoning, patterns, f6, p4, l3, supply, physics, mathematical
f6/p5	li	今	Layer-4 Domain Patterns -> li/今: L4 patterns provide the local physics that make each mathematical neighbourhood habitable.	layer, 4, domain, patterns, f6, p5, l4, provide, local, physics
f6/p6	sina	田	L3<->L4 Relation Map -> sina/田: A fractal, Alexanderian cascade keeps FUTON6 coherent as it scales.	l3, l4, relation, map, f6, p6, fractal, alexanderian, cascade, keeps
f6/p7	insa	习	HDM Dojo Mode -> insa/习: Mathematical fluency emerges from embodied practice, not passive reading. The dojo keeps HDM alive and ensures that proofs are not just correct but comprehensible—agents constructing proofs gain assurance not just of validity but of teachability.	hdm, dojo, mode, f6, p7, mathematical, fluency, emerges, embodied, practice
f6/p8	ala	无	Scholium & Proof-Landscape Mode -> ala/无: Landscapes differentiate HDM from a static encyclopedia.	scholium, proof, landscape, mode, f6, p8, landscapes, differentiate, hdm, static
f6/p9	toki	匀	Language ⇄ Math Transformations -> toki/匀: Even partial bilingualism greatly improves usability.	language, math, transformations, f6, p9, even, partial, bilingualism, greatly, improves
f7/p0	akesi	田	Naming the Layer (Civic Field of Wisdom) -> akesi/田: Naming the layer clarifies direction: F7 = how the world changes when Futons 0–6 are applied *socially* rather than individually.	naming, layer, civic, field, wisdom, f7, p0, clarifies, direction, how
f7/p1	open	习	Sphere Architecture (Sloterdijk Integration) -> open/习: Civilsation-scale practice begins with sphere-scaping—the deliberate shaping of atmospheres that support distributed wisdom.	sphere, architecture, sloterdijk, integration, f7, p1, civilsation, scale, practice, begins
f7/p2	tenpo	己	Hyperreal Enterprises as Seed Crystal -> tenpo/己: A concrete seed institution anchors F7’s abstractions into lived practice and iterates the world-making in real time.	hyperreal, enterprises, seed, crystal, f7, p2, concrete, institution, anchors, s
f7/p3	monsi	引	Accountability & Traceability Infrastructure -> monsi/引: Genuine assurance requires verifiable accountability. Following the precedent of free software, openness and transparency may prove beneficial in ways we can't yet predict. The goal is infrastructure for accountability, not opposition to any particular actor.	accountability, traceability, infrastructure, f7, p3, genuine, assurance, requires, verifiable, following
f7/p4	kulupu	匀	Civic Equanimity Protocol (Upa-upekkhā at Scale) -> kulupu/匀: Institutions that act with even-minded care are the defining signature of a future civilisation that is neither authoritarian nor chaotic.	civic, equanimity, protocol, upa, upekkh, scale, f7, p4, institutions, act
f7/p5	seme	互	Multi-Sphere Learning Ecosystems -> seme/互: Nomadic civilisations endure by transmitting culture horizontally, not vertically; multi-sphere learning is their engine.	multi, sphere, learning, ecosystems, f7, p5, nomadic, civilisations, endure, transmitting
f7/p6	sewi	业	Economic Nomadism & Post-State Viability -> sewi/业: F7 must be economically real, not merely philosophically interesting.	economic, nomadism, post, state, viability, f7, p6, economically, real, merely
f7/p7	linja	长	Interoperability with State Forms without Capture -> linja/长: Being permeable without becoming captured is essential for long-term autonomy.	interoperability, state, forms, without, capture, f7, p7, being, permeable, becoming
f7/p8	nasin	习	Civilisational Simulations (Nomadic Scenario Work) -> nasin/习: Scenario practice turns abstract philosophy into actionable civic design.	civilisational, simulations, nomadic, scenario, work, f7, p8, practice, turns, abstract
f7/p9	awen	广	Year-End Nomadic Governance Audit -> awen/广: A post-state civilisation must cultivate its own continuous reflective governance ritual—its civic meditation.	year, end, nomadic, governance, audit, f7, p9, post, state, civilisation
fulab/blast-radius		限	Blast Radius Control -> unknown/限: Declared boundaries shorten diagnosis time and reduce collateral damage.	blast, radius, control, fulab, declared, boundaries, shorten, diagnosis, time, reduce
fulab/changelog-trail	lon	以	Changelog-as-Trail -> lon/以: The changelog simulates the architecture and provides a migration path—entries can be backfilled into XTDB once the infrastructure exists.	changelog, trail, fulab, simulates, architecture, provides, migration, path, entries, backfilled
fulab/clock-in	ilo	把	Agent Clock-In -> ilo/把: clock-in 事件為證明路徑建立不可省略的錨點，使後續操作可相對於已聲明意圖被評估。	agent, clock, fulab
fulab/clock-out	pini	才	Agent Clock-Out -> pini/才: clock-out 事件封存證明路徑，提供審計、回放與進度追蹤所需的最小完備資料。	agent, clock, out, fulab
fulab/devmap-xref	e	了	Devmap Cross-Reference -> e/了: This creates a traceable ladder from daily work → fulab patterns → devmap prototypes → IFR.	devmap, cross, reference, fulab, xref, creates, traceable, ladder, daily, work
fulab/notebook-cell	lipu	资料	Live Notebook Cell -> lipu/资料: 即時擷取能保留細粒度時序與副作用證據，並支持與證據鏈的即時整合。	live, notebook, cell, fulab
fulab/pattern-dep	li	呢	Pattern Dependency Declaration -> li/呢: 明示依賴可將證明路徑建模為有向無環圖，使每一步的依據可被結構化驗證。	pattern, dependency, declaration, fulab, dep
fulab/pattern-propose	kin	了	Agent Pattern Proposal -> kin/了: This closes the loop: patterns guide agent work, and agent work refines patterns. The library is a living document.	agent, pattern, proposal, fulab, propose, closes, loop, patterns, guide, work
fulab/proof-commit	tawa	把	Proof-Conformant Commit -> tawa/把: 提交檢查是強制執行點，可阻止繞過設計詞彙表的未授權變更進入主幹。	proof, conformant, commit, fulab
fulab/session-resume	open	就	Session Resume -> open/就: 以顯式映射與祖先引用處理恢復，可同時保留對話連續性與審計邊界清晰度。	session, resume, fulab
fulab/tradeoff-record		衡	Trade-off Record -> unknown/衡: Explicit trade-offs improve reviewability and guide future reversals.	trade, off, record, fulab, tradeoff, explicit, offs, improve, reviewability, guide
hdm/bootstrap-kernel	jelo	序	HDM - Bootstrap Kernel -> jelo/序: HDM cannot wait for full automation; the viable strategy is an evolving kernel that becomes "just good enough" to strengthen itself. Bootstrapping is a permanent mode, not a temporary phase.	hdm, bootstrap, kernel, cannot, wait, full, automation, viable, strategy, evolving
hdm/deep-storage-to-active-graph		络	HDM - Deep Storage -> Active Graph -> unknown/络: A unified, pattern-indexed graph enables reasoning/learning across boundaries while respecting each project's autonomy and identity.	hdm, deep, storage, active, graph, unified, pattern, indexed, enables, reasoning
hdm/human-machine-dialogue	toki	口	HDM - Human<->Machine Dialogue -> toki/口: Dialogue is already how humans learn/teach mathematics; embedding it in HDM aligns with practice and leverages LLM strengths instead of fighting them.	hdm, human, machine, dialogue, already, how, humans, learn, teach, mathematics
hdm/hyperreal-capital	kama	才	HDM - Hyperreal Capital -> kama/才: Mathematical value lies in what people (and agents) can *do*; HDM should lower the barrier from "reading" to "acting."	hdm, hyperreal, capital, mathematical, value, lies, what, people, agents, do
hdm/non-capture	open	公	HDM - Non-Capture Guardrails -> open/公: Without structural protection, HDM risks becoming another gated service; with guardrails it can stay a backbone for both public and private tooling without being owned.	hdm, non, capture, guardrails, without, structural, protection, risks, becoming, another
hdm/opacity-to-transparency	suno	白	HDM - Opacity -> Transparency -> suno/白: Without transparency, mathematical capital remains locked in institutions and formats; with it, HDM can support equitable access, machine reasoning, and scalable human learning.	hdm, opacity, transparency, without, mathematical, capital, remains, locked, institutions, formats
hdm/outline-first-detail-later		纲	HDM - Outline First, Detail Later -> unknown/纲: Capturing strategy and pattern is often enough to index an argument, relate it to others, and detect gross inconsistencies; detail can be filled in on demand but the skeleton must stay visible.	hdm, outline, first, detail, later, capturing, strategy, pattern, often, enough
hdm/simulation-beats-reality	nasin	门	HDM - Simulation Beats Reality -> nasin/门: Mathematics already lives partly as a hyperreality in imagination; HDM makes that shared and concrete. A carefully designed simulation can support more insight, reuse, and collaboration than fragmented historical storage.	hdm, simulation, beats, reality, mathematics, already, lives, partly, hyperreality, imagination
library-coherence/library-embedding-refresh		距	Sigil Embedding Refresh Ritual -> unknown/距: similarity results only earn trust when the embedding reflects the latest canon—otherwise Prototype 2 devolves into hand-waving	sigil, embedding, refresh, ritual, library, coherence, similarity, results, only, earn
library-coherence/library-evidence-ledger		证	Canon Evidence Ledger -> unknown/证: a canon without an evidence ledger collapses into lore—dhammavicaya demands that every “ready” claim is backed by published artifacts	canon, evidence, ledger, library, coherence, without, collapses, lore, dhammavicaya, demands
library-coherence/library-readme-sync		义	Canon ↔ README Sync Ritual -> unknown/义: the canon exists to keep the public story honest—without README coverage, pattern maturity is impossible to audit	canon, readme, sync, ritual, library, coherence, exists, keep, public, story
library-coherence/library-staleness-scan		在	Canon Staleness Scan -> unknown/在: library coherence depends on time—not just content—staying aligned; a regular staleness scan keeps the canon trustworthy for downstream futons	canon, staleness, scan, library, coherence, depends, time, just, content, staying
library-coherence/library-template-discipline		本	Canon Template Discipline -> unknown/本: the canon only works when patterns stay machine-readable—template drift makes the check DSL brittle and the README evidence unverifiable	canon, template, discipline, library, coherence, only, works, when, patterns, stay
library-coherence/pattern-differentiation-alarms	kute	习	Pattern Differentiation Alarms -> kute/习: sigils are coordinates in the fake embedding—when they collapse, it signals our pattern library is too coarse for dhammavicaya to stay honest	pattern, differentiation, alarms, library, coherence, sigils, coordinates, fake, embedding, when
meta/designing-thoughts-not-text		构	Designing Thoughts, Not Text -> unknown/构: Thought patterns stay modular and auditable; prose becomes a thin rendering that cannot drift away from the design intent.	designing, thoughts, text, meta, thought, patterns, stay, modular, auditable, prose
meta/layering-design-into-argument		文	Layering Design Into Argument -> unknown/文: When prose is downstream of patterns, the argument inherits their clarity and the canon can detect overclaiming.	layering, design, argument, meta, when, prose, downstream, patterns, inherits, clarity
meta/scaffolding-emergent-clarity		理	Scaffolding Emergent Clarity -> unknown/理: Patterns compress thought into precise, reusable units; recursive use turns undifferentiated conversation into structured design language while keeping this meta-work distinct from downstream funding or delivery governance.	scaffolding, emergent, clarity, meta, patterns, compress, thought, precise, reusable, units
meta/sigil-differentiation		义	Sigil Differentiation Protocol -> unknown/义: Sigils are coordinates; when they overlap, dhammavicaya can’t distinguish patterns, so we must either move the coordinate or reshape the terrain.	sigil, differentiation, protocol, meta, sigils, coordinates, when, overlap, dhammavicaya, t
mojo/center	lape	也	Stay with the Crossroads -> lape/也: Orientation comes from felt coherence rather than external validation. Treating each crossroads, large or small, as a site of attention lets you move without forcing a single “right” path.	stay, crossroads, mojo, center, orientation, comes, felt, coherence, rather, than
mojo/down	pali	也	The Toy Becomes the Weapon -> pali/也: Letting go becomes part of the same orientation practice as beginning. By metabolising endings into learning, you reclaim agency and make space for new forms of support to appear.	toy, becomes, weapon, mojo, down, letting, go, part, same, orientation
mojo/east	ante	对	Relate from Wholeness -> ante/对: Relating from wholeness depends less on being approved of and more on how you show up: grounded, honest, and willing to let the connection find its own shape over time.	relate, wholeness, mojo, east, relating, depends, less, being, approved, more
mojo/north	ante	对	Work Furthers Values -> ante/对: When clarity is used as a practical guide rather than an afterthought, work becomes a vehicle for fairness, freedom, and coherence rather than mere activity or performance.	work, furthers, values, mojo, north, when, clarity, used, practical, guide
mojo/south	luka	对	Embodied Reasoning for Wellbeing -> luka/对: Embodied choices set the conditions under which all other choices are made. Treating them as lived crossroads stabilises attention and makes insight and resilience more available.	embodied, reasoning, wellbeing, mojo, south, choices, set, conditions, under, which
mojo/up	pali	工作	Co-Readiness -> pali/工作: Futures take shape in fields where mutual capacity and tempo are respected. Co-readiness grows when people can adjust to one another’s rhythms rather than being dragged by them.	co, readiness, mojo, up, futures, take, shape, fields, where, mutual
mojo/west	ante	也	Tune the Instrument -> ante/也: Tuning is a form of creative renewal. By treating routines as something you can re-create, you allow life to be periodically recomposed so that it better supports and refreshes you.	tune, instrument, mojo, west, tuning, form, creative, renewal, treating, routines
or/attribution-forward-review	lukin	只	Attribution-Forward Review -> lukin/只: Open review pilots show higher civility, specificity, and reusability; stance notes help readers contextualise critique. Attribution turns review into a shared scholarly contribution.	attribution, forward, review, open, pilots, show, higher, civility, specificity, reusability
or/bridge-before-portal	pali	以	Bridge-Before-Portal -> pali/以: Bridges enable staged federation and mutual learning without committing to one architecture. They preserve optionality, lower risk, and turn integrations into negotiable boundary objects.	bridge, before, portal, bridges, enable, staged, federation, mutual, learning, without
or/citizen-co-learning-track	pali	工作	Citizen Co-Learning Track -> pali/工作: Structured learning increases retention, data quality, and trust. When contributors understand the science and see themselves as co-authors, motivation becomes stewardship.	citizen, co, learning, track, structured, increases, retention, data, quality, trust
or/dream-audit-per-release	pali	只	DREAM Audit (Per Release) -> pali/只: DREAM audits keep the project’s inner compass visible, helping teams align ongoing work with founding purpose and relational health.	dream, audit, per, release, audits, keep, project, s, inner, compass
or/fit-for-use-stars	pali	以	Fit-for-Use Stars -> pali/以: Incremental sharing accelerates collaboration and preserves value; clear use-context prevents misinterpretation and sets realistic expectations for reuse.	fit, use, stars, incremental, sharing, accelerates, collaboration, preserves, value, clear
or/five-p-rhythm-for-impact	kin	以	Five-P Rhythm for Impact -> kin/以: Five-P balances efficiency with reflection; AARs and changelogs clarify accountability and make impact visible over time.	five, p, rhythm, impact, balances, efficiency, reflection, aars, changelogs, clarify
or/friction-as-feature	ante	使	Friction-as-Feature -> ante/使: Constructive friction clarifies ownership, reduces schema drift, and fosters cross-team understanding. Visible seams are repairable edges rather than brittle failure points.	friction, feature, constructive, clarifies, ownership, reduces, schema, drift, fosters, cross
or/identifier-garden	ante	把	Identifier Garden -> ante/把: Explicit ID policies prevent drift, reduce maintenance overhead, and improve automated linking across DOI–ORCID–ROR triples. The garden metaphor frames IDs as living elements needing care.	identifier, garden, explicit, id, policies, prevent, drift, reduce, maintenance, overhead
or/license-as-story	ante	只	License-as-Story -> ante/只: Narrative licence notes improve contributor understanding, reduce misuse, and spark richer conversations about attribution and reciprocity. The story turns licensing into a living social contract.	license, story, narrative, licence, notes, improve, contributor, understanding, reduce, misuse
or/license-laddering	ante	把	License Laddering -> ante/把: Evidence from OSS/OER shows permissive licences increase remix, translation, and classroom adoption. Harm models turn vague fear into auditable, time-limited clarity.	license, laddering, evidence, oss, oer, shows, permissive, licences, increase, remix
or/maintainer-care	pali	需要	Maintainer Care -> pali/需要: Projects that foreground wellbeing retain maintainers longer and sustain clearer, kinder communication; care is infrastructural, not ornamental.	maintainer, care, projects, foreground, wellbeing, retain, maintainers, longer, sustain, clearer
or/method-documentary-split	pali	只	Method/Documentary Split -> pali/只: Separating plan from record normalises adaptation and preserves context. It accelerates troubleshooting, improves mentoring, and turns “failure” into documented learning.	method, documentary, split, separating, plan, record, normalises, adaptation, preserves, context
or/overlay-bridges	ante	也	Overlay Bridges -> ante/也: Overlay models shorten time-to-feedback, reuse reviewer effort, and preserve promotion-relevant outputs. They demonstrate coexistence rather than rupture between open and traditional systems.	overlay, bridges, models, shorten, time, feedback, reuse, reviewer, effort, preserve
or/peripheral-to-core-pathways	pali	也	Peripheral-to-Core Pathways -> pali/也: Transparent progression paths increase retention and distribute leadership more equitably; metabolising tensions into maintenance preserves trust.	peripheral, core, pathways, transparent, progression, paths, increase, retention, distribute, leadership
or/platform-choreography	lape	也	Platform Choreography -> lape/也: Predictable cadences correlate with contributor retention, fewer orphan branches, and clearer trust. Rhythm becomes a governance instrument instead of background noise.	platform, choreography, predictable, cadences, correlate, contributor, retention, fewer, orphan, branches
or/quality-by-design-crowd	pali	把	Quality-by-Design Crowd -> pali/把: Embedded calibration improves accuracy and retention better than post-hoc filtering; transparent fairness norms increase commitment and reduce conflict.	quality, design, crowd, embedded, calibration, improves, accuracy, retention, better, than
or/readiness-windows	pali	把	Readiness Windows -> pali/把: Temporal boundaries transform chaos into cadence. Predictable windows make change intentional, concentrate review effort, and create meaningful release moments.	readiness, windows, temporal, boundaries, transform, chaos, cadence, predictable, make, change
or/retirement-shelf	ante	只	Retirement Shelf -> ante/只: Dignified endings preserve institutional memory without clutter. Visible lineage supports transparency and helps newcomers understand evolution of practice.	retirement, shelf, dignified, endings, preserve, institutional, memory, without, clutter, visible
or/snapshot-with-story-doi	lukin	只	Snapshot-with-Story DOI -> lukin/只: Narrative DOIs see more accurate citation, fewer misuse tickets, and clearer reuse; they transform preservation into pedagogy by contextualising the snapshot.	snapshot, story, doi, narrative, dois, see, more, accurate, citation, fewer
or/tune-audits-quarterly	kin	把	Tune Audits (Quarterly) -> kin/把: Lightweight, regular reflection keeps documentation aligned with practice. Tuning normalises revision and creates a public trail of living decisions.	tune, audits, quarterly, lightweight, regular, reflection, keeps, documentation, aligned, practice
or/two-stage-fidelity	ante	以	Two-Stage Fidelity (Registered Rhythm) -> ante/以: Registered Reports show that preregistration reduces bias, and explicit deviation logs preserve interpretability. Together they balance rigour and discovery.	two, stage, fidelity, registered, rhythm, reports, show, preregistration, reduces, bias
or2/bioliteracy-open-value	jelo	仁	Bioliteracy & Open Value -> jelo/仁: When teaching artefacts are shared with calibrated openness, students gain researcher identity, BMS gains institutional visibility, and Brookes signals pedagogical excellence tied directly to Open Research value.	bioliteracy, open, value, or2, when, teaching, artefacts, shared, calibrated, openness
or2/data-intensive-infrastructure-gap		田	Data-Intensive Practice on Office-Centred Infrastructure -> unknown/田: Making seams visible lets ECM plan around constraints, lowers institutional risk, and produces reusable assets without waiting for a full infrastructure overhaul; chariot nodes move faster when they know the terrain.	data, intensive, practice, office, centred, infrastructure, or2, gap, making, seams
or2/open-practice-beyond-hypothesis	weka	文	Open Practice Beyond Hypothesis -> weka/文: Open Research serves Arts when it clarifies lineage, process, and situated intention; story-driven artefacts preserve dignity, reduce administrative friction, and let practice be legible without erasing its form.	open, practice, beyond, hypothesis, or2, research, serves, arts, when, clarifies
or2/progress-cylinder-assurance		进	Progress Cylinder Assurance -> unknown/进: cylinder-set guarantees are about partial evidence within a bounded prefix; early effort is a compact proof that work is moving through the pipe.	progress, cylinder, assurance, or2, set, guarantees, partial, evidence, within, bounded
or2/shared-futures-beyond-atomised-incentives	kule	公	Shared Futures Beyond Atomised Incentives -> kule/公: When shared-futures labour has visible routes, learning scaffolds, and simple meeting cadences, it strengthens participation, legitimises community stewardship in promotions, and keeps Brookes’ futures agenda alive under constraint.	shared, futures, beyond, atomised, incentives, or2, when, labour, visible, routes
or2/spread-effort-assurance		分	Spread Effort Assurance -> unknown/分: effort spread creates natural review cycles and reduces the probability that rushed work ships unexamined.	spread, effort, assurance, or2, creates, natural, review, cycles, reduces, probability
or2/steward-emporium		守	Steward of the Open Research Emporium -> unknown/守: When stewardship is named as the ground the system stands on, it becomes negentropic—reducing duplication, clarifying provenance, and giving researchers trust that OR support lightens rather than loads their work.	steward, open, research, emporium, or2, when, stewardship, named, ground, system
or2/topology-dungeon-crawl	nena	山	Brookes OR Dungeon-Crawl Topology -> nena/山: When roles can point to a position—split center, wizard-above, steward-below—they stop feeling like quirks and become parts of a single institutional engine; OR techniques turn into moves the nodes already need rather than burdensome extras.	brookes, dungeon, crawl, topology, or2, when, roles, point, position, split
or2/two-joes-one-mandate	ona	中	Two Joes, One Mandate -> ona/中: Authority and coherence rarely live in one office; treating them as a designed partnership turns Open Research into a negentropic force that reduces duplication and gives Schools a clear rationale rather than another committee.	two, joes, one, mandate, or2, authority, coherence, rarely, live, office
or2/ukrn-horizon-bridge	awen	旦	UKRN Horizon Bridge -> awen/旦: When horizon signals are routed through the centerline, Brookes gains negentropic alignment—less reinvention, stronger credibility with funders/REF, and practical improvements that feel supportive rather than imposed.	ukrn, horizon, bridge, or2, when, signals, routed, through, centerline, brookes
or2/xiangqi-decorators	nimi	艺	Xiangqi-Inspired Decorators (Institutional Pieces) -> nimi/艺: Decorators make institutional tensions legible at a glance, improving navigability, pattern casting, and recognition of positional constraints without resorting to heavy prose or cultural caricature.	xiangqi, inspired, decorators, institutional, pieces, or2, make, tensions, legible, glance
p4ng/agent-command-pattern		工	Agent Command Pattern -> unknown/工: A uniform command abstraction gives the stack a shared action language: histories become replayable, undo/redo is tractable, thread pools can execute arbitrary work safely, and schedulers can move labour across machines without touching implementation internals.	agent, command, pattern, p4ng, uniform, abstraction, gives, stack, shared, action
p4ng/agent-decorator-pattern	len	示	Agent Decorator Pattern -> len/示: Decorators let the agent stack layer observability, safety, and stewardship concerns without touching the business logic, so logging can be switched on globally, permission checks stay consistent, and concurrency guards become reusable armour around any command.	agent, decorator, pattern, p4ng, decorators, let, stack, layer, observability, safety
p4ng/agent-pattern-triad		环	Agent Pattern Triad — Intent to Execution -> unknown/环: The Command/Strategy/Decorator triad turns “random agent code” into an explainable circuit—what gets done, how choices are made, and which protections wrap the work—so experimentation stays safe, reasoning stays legible, and multi-threaded agents behave predictably.	agent, pattern, triad, intent, execution, p4ng, command, strategy, decorator, turns
p4ng/agent-strategy-pattern	nasin	义	Agent Strategy Pattern -> nasin/义: Strategies separate intent (“summarise this log”) from method (“fast heuristic vs deep reasoning”), enabling safe experiments, per-context policy bundles, and cleaner reasoning about which solver is responsible for each outcome.	agent, strategy, pattern, p4ng, strategies, separate, intent, summarise, log, method
p4ng/attribution-forward	ante	把	Attribution-Forward Review -> ante/把: Transparent credit increases fairness and visibility of diverse labour.	attribution, forward, review, p4ng, transparent, credit, increases, fairness, visibility, diverse
p4ng/borrow-the-situation	ante	把	Borrow the Situation -> ante/把: Co-defined challenges increase contextual fit and engagement.	borrow, situation, p4ng, co, defined, challenges, increase, contextual, fit, engagement
p4ng/boundary-oscillation	ante	了	Boundary Oscillation -> ante/了: Distributed systems must reconverge periodically to maintain coherence.	boundary, oscillation, p4ng, distributed, systems, reconverge, periodically, maintain, coherence, activate
p4ng/bridge-before-portal	pali	以	Bridge-Before-Portal -> pali/以: Early, low-pressure exposure increases willingness to adopt and reduces confusion.	bridge, before, portal, p4ng, early, low, pressure, exposure, increases, willingness
p4ng/call-a-synthesizer	pali	了	Call a Synthesizer -> pali/了: Forward motion requires shared grounding in existing work.	call, synthesizer, p4ng, forward, motion, requires, shared, grounding, existing, work
p4ng/candidate-move-generation	ante	把	Candidate Move Generation -> ante/把: Structured exploration of options prevents premature convergence and supports richer problem solving.	candidate, move, generation, p4ng, structured, exploration, options, prevents, premature, convergence
p4ng/citizen-colearning	pali	工作	Citizen Co-Learning Track -> pali/工作: Shared learning increases understanding, trust, and participation.	citizen, co, learning, track, p4ng, colearning, shared, increases, understanding, trust
p4ng/co-design-partners-agent	pali	了	Co-Design Partners Agent -> pali/了: Trustworthy systems emerge through reciprocal design, not fiat.	co, design, partners, agent, p4ng, trustworthy, systems, emerge, through, reciprocal
p4ng/disruption-traceback	ante	的	Disruption Traceback -> ante/的: Accountability mechanisms reinforce shared norms.	disruption, traceback, p4ng, accountability, mechanisms, reinforce, shared, norms, initiate, proportionate
p4ng/dream-audit	pali	把	DREAM Audit (Per Release) -> pali/把: Explicit value review makes alignment and drift visible.	dream, audit, per, release, p4ng, explicit, value, review, makes, alignment
p4ng/feedback-rhythms	ante	了	Feedback Rhythms -> ante/了: Regular rhythms of feedback keep evolving systems aligned with changing conditions.	feedback, rhythms, p4ng, regular, keep, evolving, systems, aligned, changing, conditions
p4ng/fit-for-use	ante	只	Fit-for-Use Stars -> ante/只: Nuanced quality indicators support improvement and clearer communication.	fit, use, stars, p4ng, nuanced, quality, indicators, support, improvement, clearer
